user_id,dest_id,rating,visit_date
U0001,D011,3.9,2023-12-17
U0001,D017,4.4,2023-09-19
U0001,D022,3.1,2023-12-26
U0001,D023,4.0,2022-01-12
U0001,D031,3.1,2022-10-03
U0001,D033,4.0,2022-01-31
U0001,D042,3.5,2023-08-04
U0001,D048,4.5,2023-06-06
U0001,D049,3.2,2022-01-13
U0001,D064,4.9,2023-01-17
U0001,D065,3.4,2023-11-21
U0001,D071,3.5,2023-04-22
U0002,D001,4.6,2023-04-13
U0002,D002,3.3,2022-07-25
U0002,D016,4.3,2023-07-09
U0002,D021,4.5,2023-11-05
U0002,D031,3.6,2022-10-14
U0002,D032,3.4,2022-08-26
U0002,D038,3.0,2022-04-08
U0002,D043,3.7,2023-11-10
U0002,D053,4.5,2022-07-27
U0002,D054,3.5,2023-08-22
U0002,D055,3.3,2022-04-19
U0002,D064,2.9,2022-06-11
U0002,D071,3.4,2023-12-30
U0003,D004,4.2,2023-02-19
U0003,D008,5.0,2022-04-15
U0003,D010,4.0,2022-01-13
U0003,D011,4.2,2022-08-16
U0003,D012,3.5,2023-02-15
U0003,D019,4.1,2022-03-08
U0003,D023,2.9,2022-12-06
U0003,D024,4.4,2023-04-18
U0003,D025,3.7,2023-08-11
U0003,D036,3.6,2023-09-21
U0003,D042,3.0,2022-10-14
U0003,D050,3.2,2023-01-27
U0003,D063,4.3,2023-04-29
U0003,D068,3.4,2023-11-04
U0004,D015,3.4,2022-07-12
U0004,D021,4.5,2022-02-27
U0004,D025,5.0,2023-09-21
U0004,D027,5.0,2022-07-01
U0004,D032,3.1,2023-08-24
U0004,D034,4.5,2022-04-24
U0004,D041,3.4,2022-11-06
U0004,D060,3.7,2023-12-20
U0004,D065,3.8,2023-09-09
U0004,D070,4.4,2023-05-24
U0004,D071,4.2,2022-03-21
U0005,D002,3.7,2023-12-27
U0005,D006,3.9,2022-08-03
U0005,D008,3.2,2022-09-20
U0005,D011,3.5,2023-03-25
U0005,D018,3.5,2023-05-06
U0005,D025,3.3,2022-01-21
U0005,D028,3.8,2022-06-24
U0005,D032,2.8,2022-04-06
U0005,D041,3.6,2022-12-06
U0005,D050,2.7,2023-08-09
U0005,D053,3.7,2022-01-04
U0005,D059,3.5,2022-06-24
U0005,D063,3.2,2023-02-12
U0005,D072,4.1,2023-03-27
U0006,D002,4.3,2023-12-15
U0006,D004,3.7,2022-12-19
U0006,D009,4.1,2023-02-01
U0006,D017,4.1,2022-02-05
U0006,D023,3.3,2023-04-05
U0006,D028,3.5,2023-03-10
U0006,D029,4.0,2023-12-01
U0006,D038,2.9,2023-02-02
U0006,D044,3.5,2023-12-19
U0006,D049,2.8,2023-08-26
U0006,D052,3.1,2022-04-19
U0006,D054,4.1,2022-10-20
U0006,D070,3.5,2023-05-02
U0006,D073,4.7,2022-11-07
U0007,D012,3.7,2023-03-29
U0007,D023,4.2,2023-06-21
U0007,D025,4.9,2022-07-17
U0007,D028,5.0,2022-02-03
U0007,D037,4.3,2022-02-01
U0007,D048,3.2,2022-01-29
U0007,D058,3.5,2023-11-30
U0007,D059,3.4,2022-05-16
U0007,D062,4.2,2022-09-16
U0008,D002,4.4,2023-11-10
U0008,D020,4.1,2023-09-07
U0008,D023,3.6,2022-01-27
U0008,D029,3.3,2023-12-27
U0008,D061,2.5,2022-02-24
U0008,D065,4.0,2022-07-19
U0008,D070,3.7,2022-06-04
U0008,D071,2.5,2022-07-25
U0009,D002,4.2,2022-07-04
U0009,D008,4.1,2022-10-08
U0009,D015,4.8,2023-03-21
U0009,D020,4.6,2022-07-24
U0009,D026,3.9,2022-01-05
U0009,D032,3.6,2023-01-28
U0009,D035,3.5,2022-02-16
U0009,D052,3.7,2022-01-23
U0009,D057,3.8,2023-10-18
U0009,D060,3.5,2022-02-19
U0009,D063,3.8,2023-12-08
U0009,D064,3.6,2023-03-31
U0010,D002,3.8,2022-04-18
U0010,D020,3.9,2022-04-02
U0010,D024,3.5,2022-04-03
U0010,D026,3.6,2022-04-14
U0010,D033,3.2,2022-06-28
U0010,D039,3.7,2022-02-16
U0010,D040,3.9,2022-05-22
U0010,D047,4.0,2022-12-17
U0010,D057,4.3,2023-12-14
U0010,D061,3.6,2023-08-28
U0011,D002,3.9,2023-11-02
U0011,D014,4.4,2023-11-09
U0011,D019,4.7,2023-07-26
U0011,D022,4.9,2022-06-10
U0011,D036,3.9,2023-03-31
U0011,D041,4.4,2023-05-25
U0011,D043,3.7,2023-02-18
U0011,D046,4.8,2022-04-04
U0011,D064,3.8,2023-11-06
U0011,D072,3.9,2022-06-18
U0012,D005,4.4,2023-02-07
U0012,D011,4.7,2023-10-11
U0012,D018,4.4,2023-05-26
U0012,D019,4.4,2022-02-19
U0012,D029,4.0,2023-11-05
U0012,D042,2.9,2023-02-27
U0012,D056,4.1,2023-12-29
U0012,D062,3.8,2022-12-27
U0012,D072,3.2,2022-04-20
U0012,D073,3.5,2022-05-29
U0012,D074,3.9,2022-02-27
U0013,D010,5.0,2023-04-09
U0013,D011,3.7,2023-11-23
U0013,D027,3.8,2022-09-15
U0013,D044,4.1,2022-06-27
U0013,D046,3.4,2022-02-11
U0013,D049,2.7,2023-08-22
U0013,D051,3.1,2023-04-23
U0013,D056,3.7,2023-10-03
U0013,D066,3.9,2023-06-02
U0014,D007,3.9,2022-12-21
U0014,D025,3.8,2023-10-30
U0014,D033,4.9,2022-03-09
U0014,D045,3.9,2023-12-04
U0014,D049,3.0,2022-02-25
U0014,D052,3.7,2022-08-22
U0014,D059,3.8,2022-01-07
U0014,D065,4.3,2023-05-30
U0014,D066,3.5,2023-12-04
U0014,D068,4.7,2023-03-25
U0014,D071,3.3,2022-06-10
U0014,D073,3.4,2023-02-05
U0015,D010,5.0,2023-07-23
U0015,D011,4.3,2022-02-12
U0015,D012,4.0,2023-09-03
U0015,D015,3.3,2022-08-04
U0015,D036,3.4,2022-04-11
U0015,D044,3.9,2022-07-18
U0015,D054,4.0,2022-09-10
U0015,D066,3.4,2023-10-24
U0015,D070,4.0,2023-07-06
U0016,D008,4.1,2022-09-24
U0016,D039,3.3,2023-01-14
U0016,D047,3.2,2023-10-27
U0016,D070,3.6,2022-06-19
U0017,D007,3.5,2023-11-23
U0017,D012,3.9,2022-02-14
U0017,D013,4.6,2023-08-30
U0017,D016,4.0,2023-08-10
U0017,D017,4.2,2022-06-20
U0017,D023,4.1,2023-11-09
U0017,D033,4.6,2023-08-20
U0017,D044,3.2,2022-07-27
U0017,D056,3.3,2023-11-07
U0017,D057,4.7,2023-09-10
U0017,D059,3.7,2023-11-26
U0017,D063,4.0,2023-06-27
U0018,D003,3.8,2023-09-05
U0018,D010,4.3,2022-01-08
U0018,D015,3.7,2023-03-13
U0018,D049,3.9,2022-04-04
U0018,D053,4.2,2022-09-27
U0018,D055,4.1,2022-02-08
U0018,D062,3.9,2022-06-29
U0018,D069,3.0,2023-09-06
U0019,D003,3.7,2022-10-10
U0019,D010,2.8,2022-04-03
U0019,D021,4.3,2022-06-29
U0019,D023,4.3,2022-03-16
U0019,D026,4.0,2023-06-10
U0019,D041,2.9,2022-04-30
U0020,D001,4.0,2022-03-22
U0020,D007,4.1,2023-05-09
U0020,D019,3.3,2023-06-23
U0020,D032,3.9,2022-08-04
U0020,D034,4.0,2023-01-06
U0020,D049,3.5,2023-08-13
U0020,D060,4.3,2023-03-08
U0020,D072,4.2,2022-09-18
U0021,D007,4.7,2022-05-05
U0021,D020,4.3,2023-09-21
U0021,D023,4.3,2022-06-21
U0021,D031,3.4,2022-12-18
U0021,D045,4.4,2022-08-29
U0021,D049,4.0,2022-06-20
U0021,D051,2.7,2023-04-30
U0021,D053,4.4,2023-02-11
U0021,D056,4.2,2023-09-25
U0021,D064,3.6,2022-06-24
U0021,D065,4.4,2023-11-11
U0021,D073,3.6,2023-12-16
U0022,D011,3.8,2022-11-12
U0022,D015,4.0,2022-05-20
U0022,D018,4.3,2023-05-19
U0022,D021,4.3,2023-03-17
U0022,D035,3.0,2023-10-03
U0022,D053,4.1,2022-02-20
U0022,D055,3.2,2022-04-15
U0022,D057,3.8,2023-03-25
U0022,D071,3.1,2023-02-06
U0022,D072,4.0,2023-04-27
U0023,D003,3.2,2022-09-12
U0023,D010,3.8,2023-11-13
U0023,D017,2.9,2023-07-17
U0023,D025,3.2,2023-10-11
U0023,D027,3.9,2022-10-10
U0023,D044,3.1,2022-12-31
U0023,D048,4.1,2022-08-27
U0023,D055,3.5,2023-01-22
U0023,D057,3.1,2022-02-10
U0023,D070,3.0,2022-06-08
U0024,D009,4.2,2023-07-06
U0024,D018,4.3,2023-11-06
U0024,D019,4.0,2022-05-13
U0024,D021,3.6,2022-04-20
U0024,D023,3.6,2023-08-08
U0024,D029,3.9,2022-08-15
U0024,D032,3.5,2022-08-02
U0024,D043,4.1,2023-09-24
U0024,D045,4.1,2022-03-14
U0024,D047,4.1,2022-08-10
U0024,D049,3.4,2022-08-25
U0024,D058,4.7,2023-10-16
U0024,D063,3.3,2022-07-04
U0025,D012,3.9,2022-02-05
U0025,D021,4.1,2023-12-08
U0025,D027,4.2,2023-04-17
U0025,D029,4.7,2023-01-11
U0025,D038,3.9,2022-11-29
U0025,D049,3.7,2022-02-27
U0025,D055,3.8,2022-08-21
U0025,D061,3.9,2023-06-21
U0025,D062,3.8,2023-07-07
U0025,D072,4.2,2023-03-19
U0026,D001,5.0,2022-03-26
U0026,D022,4.7,2023-02-28
U0026,D027,4.1,2022-11-09
U0026,D040,4.4,2022-02-25
U0026,D043,3.0,2022-10-22
U0026,D044,4.3,2023-12-12
U0026,D062,4.4,2022-07-25
U0026,D065,4.7,2023-11-02
U0026,D067,4.7,2023-11-08
U0026,D072,3.9,2023-10-27
U0027,D006,4.2,2022-07-23
U0027,D010,3.8,2022-09-11
U0027,D015,4.0,2023-12-02
U0027,D026,3.7,2023-07-23
U0027,D032,2.3,2023-01-27
U0027,D043,2.4,2023-10-31
U0027,D044,3.3,2023-07-09
U0027,D047,3.0,2023-12-07
U0027,D050,3.1,2022-05-29
U0027,D054,3.3,2023-06-30
U0027,D056,3.6,2022-11-22
U0027,D058,3.4,2022-01-31
U0027,D069,3.3,2022-07-09
U0027,D070,4.1,2023-09-19
U0028,D002,3.7,2022-03-23
U0028,D011,3.6,2022-07-17
U0028,D040,3.5,2022-04-22
U0028,D043,3.0,2022-09-09
U0028,D050,3.6,2022-10-26
U0028,D062,2.9,2023-05-28
U0028,D063,3.5,2023-08-23
U0028,D066,3.4,2023-02-28
U0028,D068,3.9,2023-04-10
U0029,D004,4.6,2022-04-27
U0029,D007,4.3,2023-12-26
U0029,D027,4.5,2022-05-15
U0029,D029,4.6,2022-09-17
U0029,D031,3.8,2023-05-25
U0029,D034,3.8,2023-05-21
U0029,D039,4.0,2023-09-07
U0029,D040,3.5,2023-07-15
U0029,D046,3.3,2022-12-24
U0029,D047,3.5,2022-02-03
U0029,D052,2.9,2023-03-03
U0029,D063,3.5,2022-11-03
U0029,D069,3.8,2023-04-28
U0029,D070,3.9,2023-12-13
U0030,D002,3.4,2023-08-09
U0030,D016,3.7,2023-07-31
U0030,D025,3.0,2023-04-22
U0030,D027,3.4,2022-08-01
U0030,D035,4.0,2022-07-26
U0030,D038,4.0,2022-11-04
U0030,D041,3.6,2023-12-04
U0030,D052,3.9,2022-05-20
U0030,D073,2.9,2023-01-20
U0031,D009,3.1,2023-02-28
U0031,D010,4.5,2022-09-01
U0031,D017,4.1,2022-07-26
U0031,D020,3.7,2023-05-10
U0031,D029,3.5,2023-06-13
U0031,D032,3.8,2022-02-07
U0031,D036,3.7,2022-02-15
U0031,D039,3.3,2023-04-24
U0031,D041,3.6,2023-11-06
U0031,D043,2.9,2022-11-16
U0031,D053,3.9,2023-09-30
U0031,D055,3.4,2023-07-10
U0031,D058,3.4,2023-12-23
U0031,D065,4.0,2022-01-30
U0031,D068,4.7,2022-02-25
U0031,D069,3.8,2023-02-06
U0032,D010,4.2,2023-12-17
U0032,D027,3.7,2023-05-02
U0032,D028,4.6,2023-05-06
U0032,D034,4.7,2022-04-16
U0032,D037,3.8,2023-07-24
U0032,D056,4.0,2023-12-30
U0032,D065,3.8,2022-04-22
U0032,D071,3.9,2022-08-11
U0033,D002,3.2,2022-05-31
U0033,D023,3.4,2023-07-17
U0033,D025,3.5,2023-07-28
U0033,D047,3.6,2022-03-15
U0033,D049,2.5,2023-05-14
U0033,D052,3.5,2022-05-21
U0034,D002,2.7,2023-05-09
U0034,D004,4.3,2023-06-24
U0034,D009,4.2,2023-09-17
U0034,D010,4.1,2023-04-29
U0034,D020,4.2,2023-04-10
U0034,D028,3.6,2023-09-04
U0034,D033,3.9,2023-04-30
U0034,D039,3.7,2023-05-12
U0034,D040,3.2,2023-06-02
U0034,D041,4.0,2022-10-12
U0034,D057,3.5,2022-03-28
U0034,D070,4.6,2022-09-28
U0034,D072,3.5,2022-06-21
U0035,D016,3.6,2023-06-29
U0035,D024,4.3,2023-11-02
U0035,D036,3.9,2022-01-09
U0035,D038,4.0,2022-04-11
U0035,D044,4.3,2023-09-27
U0035,D045,3.1,2023-09-01
U0035,D051,4.0,2023-09-12
U0035,D052,4.6,2023-11-04
U0035,D057,3.5,2022-07-08
U0035,D069,4.3,2022-03-05
U0035,D072,3.7,2022-09-29
U0035,D074,3.6,2022-07-25
U0036,D004,4.2,2023-03-18
U0036,D009,4.0,2022-03-16
U0036,D010,4.0,2022-09-14
U0036,D012,4.6,2023-05-25
U0036,D013,3.3,2023-10-18
U0036,D014,3.9,2022-02-08
U0036,D028,3.5,2023-12-07
U0036,D039,3.3,2023-07-02
U0036,D051,3.8,2023-12-07
U0036,D053,4.3,2023-10-10
